title,tempo,vocal_tone_quality,sound_brightness,musical_note_strength,sound_loudness
A_Bar_Song_(Tipsy),161.4990234375,-52.65393,2367.288229876386,0.31098515,0.2340785
Beautiful_Things,107.666015625,-135.63683,2050.5219494862804,0.4065041,0.17771354
I_Had_Some_Help,129.19921875,-52.373795,2355.1943134073636,0.47749612,0.21729547
Lovin_on_Me,103.359375,-62.89293,2735.2538106155343,0.6754959,0.34868938
Not_Like_Us,99.38401442307692,-123.93128,2214.5104445861452,0.5345495,0.2655143
Espresso,103.359375,-47.448246,2781.4487994530214,0.4249937,0.25474456
Million_Dollar_Baby,135.99917763157896,-85.32556,2236.6967954479383,0.37628236,0.30024227
I_Remember_Everything,151.99908088235293,-134.82549,1655.0266246596573,0.46292326,0.2058236
Too_Sweet,117.45383522727273,-52.429905,2244.0711860590145,0.37128723,0.2575983
Stick_Season,117.45383522727273,-96.527626,2407.0713440308346,0.32493025,0.18952088
Cruel_Summer,112.34714673913044,-47.93277,2021.6884358642715,0.486031,0.24631329
Greedy,112.34714673913044,-58.807228,2499.6054580951018,0.420634,0.26846686
Like_That,107.666015625,-92.103355,2474.5030236561543,0.47925767,0.31425175
Birds_of_a_Feather,103.359375,-140.05017,1712.3025694792163,0.3272003,0.23356155
Please_Please_Please,107.666015625,-91.83797,2145.160169329799,0.36272517,0.19254002
Agora_Hills,123.046875,-126.367645,2357.9131618396846,0.35334212,0.2129887
"Good_Luck,_Babe!",117.45383522727273,-65.930984,2237.782435932918,0.27443066,0.23707424
Saturn,89.10290948275862,-87.98839,2088.056518460693,0.3565682,0.2108261
Paint_the_Town_Red,99.38401442307692,-168.5494,2253.945168681507,0.4168492,0.19545294
Fortnight,95.703125,-199.0724,1852.0614446179636,0.34601247,0.09548171
Fast_Car,99.38401442307692,-104.441124,1541.6203369840719,0.33349508,0.1774077
Water,117.45383522727273,-82.65519,2263.6416133801567,0.3403226,0.2783485
Feather,123.046875,-163.7762,2210.4745186313403,0.4025399,0.124630086
We_Can't_Be_Friends_(Wait_for_Your_Love),117.45383522727273,-153.02188,2190.105524843054,0.48821437,0.16182853
Austin,117.45383522727273,-73.94439,1910.5333033145737,0.3884531,0.25500727
Last_Night,103.359375,-71.38476,2461.260404343827,0.3151206,0.17962249
Cowgirls,86.1328125,-65.913445,2102.1781363837827,0.46014506,0.27744496
Pink_Skies,86.1328125,-121.215706,2013.6026948013193,0.51624614,0.19684228
Thinkin'_Bout_Me,143.5546875,-62.894093,2282.448622717208,0.23082441,0.22948602
Texas_Hold_'Em,112.34714673913044,-100.95615,2088.0422692896545,0.31001452,0.24400097
Miles_on_It,129.19921875,-111.905334,2491.6282551549743,0.38754016,0.16890341
I_Can_Do_It_with_a_Broken_Heart,129.19921875,-156.09142,2150.405248238002,0.5994764,0.100066274
Wild_Ones,135.99917763157896,-98.851456,1899.1252967861697,0.5579037,0.24221767
Ain't_No_Love_in_Oklahoma,143.5546875,-84.462204,1848.3178899353459,0.69465727,0.16521938
Houdini,117.45383522727273,-34.72293,2616.424371066474,0.4562703,0.2523703
Wanna_Be,135.99917763157896,-76.17029,2471.1026170693726,0.44360623,0.32504323
Slow_It_Down,92.28515625,-124.57462,2768.323355771089,0.45175922,0.17326006
Houdini,117.45383522727273,-34.72293,2616.424371066474,0.4562703,0.2523703
Yeah_Glo!,151.99908088235293,-85.848206,2116.881655248165,0.5207761,0.32129702
Rich_Baby_Daddy,143.5546875,-50.278126,2452.510204921691,0.4466129,0.34236458
What_Was_I_Made_For?,112.34714673913044,-253.06464,1686.6885763953392,0.26707327,0.09804911
End_of_Beginning,161.4990234375,-96.80812,2036.0409572075678,0.37968552,0.20939198
Lunch,123.046875,-169.02191,1573.367995383193,0.3990419,0.18347855
Never_Lose_Me,123.046875,-122.18768,2183.2500451901587,0.48912323,0.26711988
Lies_Lies_Lies,107.666015625,-77.54283,1789.882103034128,0.2561724,0.24917328
Type_Shit,143.5546875,-56.87453,2612.719967390815,0.4377377,0.3017374
Gata_Only,99.38401442307692,-126.81227,1708.8321489234852,0.36654544,0.23478469
Hot_to_Go!,143.5546875,-64.04774,2853.310264788887,0.3805752,0.20828103
All_I_Want_for_Christmas_Is_You,151.99908088235293,-86.42625,2956.9513876676137,0.261441,0.15429783
Get_It_Sexyy,143.5546875,-79.10002,2171.76192169814,0.47390664,0.31383714
Made_for_Me,117.45383522727273,-198.06033,1537.0223464786084,0.3539004,0.22154205
Vampire,135.99917763157896,-111.652626,2528.9123543193164,0.39160532,0.16928615
Whatever_She_Wants,95.703125,-142.44753,2312.2846588768284,0.40590176,0.21228366
Rockin'_Around_the_Christmas_Tree,143.5546875,-168.49683,2338.5711921731327,0.32755068,0.07137552
Pretty_Little_Poison,112.34714673913044,-53.981125,2513.5765589892517,0.38365555,0.21396032
First_Person_Shooter,123.046875,-87.516975,2259.4726325281167,0.5421803,0.2435005
Die_with_a_Smile,151.99908088235293,-101.32852,2186.2339466510175,0.2427645,0.15679395
I_Like_the_Way_You_Kiss_Me,151.99908088235293,-29.104908,2187.5206687852715,0.43991747,0.30108014
Need_a_Favor,161.4990234375,-11.387778,2244.394119765542,0.35581487,0.27896142
Save_Me,161.4990234375,-78.91334,2084.9586719076733,0.4159605,0.21375038
Euphoria,143.5546875,-101.60113,2374.102057236689,0.48265034,0.26114282
Truck_Bed,129.19921875,-122.318405,2182.2885236349944,0.4832742,0.18603243
Jingle_Bell_Rock,117.45383522727273,-150.20934,1786.876293589797,0.20080802,0.12443021
Flowers,117.45383522727273,-64.27018,1960.5512182040857,0.42774075,0.28633428
Where_the_Wild_Things_Are,117.45383522727273,-44.337677,2105.3380520376513,0.3448183,0.26309142
Everybody,135.99917763157896,-64.53668,2142.66033417974,0.47831103,0.3335223
La_Diabla,129.19921875,-53.028637,2298.759700632687,0.32822007,0.25767958
Stargazing,123.046875,-69.526665,1910.2416398871167,0.24954024,0.27322754
Last_Christmas,107.666015625,-91.50703,2678.6786211356093,0.27312222,0.16878009
I_Am_Not_Okay,151.99908088235293,-45.95895,2304.80423134124,0.23573601,0.24679725
Pour_Me_a_Drink,117.45383522727273,5.9174967,2489.67852967729,0.36059365,0.3093978
White_Horse,143.5546875,-159.39996,1985.8854543048674,0.38312262,0.059125073
Lil_Boo_Thang,112.34714673913044,-63.10245,2510.999796822835,0.49626693,0.24294002
Good_Good,143.5546875,-77.506226,2607.490075474124,0.46509728,0.24428372
High_Road,135.99917763157896,-46.32745,2294.0242845175826,0.35360816,0.23357074
Monaco,135.99917763157896,-151.39926,2085.7162263850973,0.46136087,0.20033547
IDGAF,135.99917763157896,-152.8515,2485.450625238396,0.31552023,0.17617252
Burn_It_Down,161.4990234375,-68.07581,2080.49142145418,0.28305492,0.22904466
FukUMean,129.19921875,-93.374435,2560.486296417786,0.41008195,0.26654604
Taste,112.34714673913044,-94.34549,2669.975965698176,0.3654131,0.1920467
Where_It_Ends,172.265625,-27.128256,2600.0807612677672,0.31617793,0.25109872
FTCU,143.5546875,-154.67467,1897.614660850714,0.42907596,0.32273713
Wildflower,143.5546875,-187.80728,1480.9249309437448,0.30951473,0.13800749
World_on_Fire,95.703125,-23.57225,2521.829281148866,0.30478314,0.26680225
On_My_Mama,151.99908088235293,-133.42622,1772.916051122972,0.37488866,0.18510406
"Yes,_And?",117.45383522727273,-141.88152,2985.2679989160365,0.37385142,0.104849644
Exes,135.99917763157896,-98.99905,2156.000663485995,0.4144644,0.24688056
A_Holly_Jolly_Christmas,143.5546875,-196.76216,2303.000990691451,0.3733773,0.06912305
Wind_Up_Missin'_You,86.1328125,-81.83437,1980.2850969599176,0.3525878,0.21413064
Bulletproof,161.4990234375,-19.174469,2774.706106525891,0.3258418,0.24746796
The_Painter,129.19921875,-127.51094,1890.0127713477789,0.30587366,0.12622671
Down_Bad,107.666015625,-212.3553,1642.3867003751527,0.3944585,0.107822925
Dance_the_Night,112.34714673913044,-57.72313,2773.1946041742767,0.35660723,0.22981092
